Source,Target,Weight,July19Topic,PostDate
User7344,Post497,28,9,SepDec-17
User5748,Post017,17,1,MayAug-17
User3563,Post195,17,4,SepDec-16
User1944,Post195,17,4,SepDec-16
User0580,Post497,14,9,SepDec-17
User0500,Post066,10,12,JanApr-17
User7303,Post064,9,15,MayAug-17
User6823,Post593,9,14,SepDec-17
User0037,Post609,9,9,JanApr-17
User2610,Post195,9,4,SepDec-16
User7412,Post497,8,9,SepDec-17
User6515,Post497,8,9,SepDec-17
User7650,Post318,8,8,SepDec-17
User5794,Post190,8,10,JanApr-17
User3411,Post120,8,8,JanApr-17
User4340,Post279,7,14,MayAug-17
User3903,Post120,7,8,JanApr-17
User3840,Post249,7,17,JanApr-17
User4825,Post497,6,9,SepDec-17
User2698,Post497,6,9,SepDec-17
User0523,Post064,6,15,MayAug-17
User2038,Post096,6,6,JanApr-17
User1341,Post195,6,4,SepDec-16
User7598,Post497,5,9,SepDec-17
User6989,Post497,5,9,SepDec-17
User6425,Post497,5,9,SepDec-17
User4384,Post497,5,9,SepDec-17
User3984,Post497,5,9,SepDec-17
User2558,Post497,5,9,SepDec-17
User1688,Post497,5,9,SepDec-17
User3368,Post064,5,15,MayAug-17
User6798,Post066,5,12,JanApr-17
User6157,Post318,5,8,SepDec-17
User4578,Post575,5,5,MayAug-17
User4560,Post571,5,12,JanApr-17
User4183,Post447,5,1,JanApr-17
User2614,Post269,5,12,SepDec-17
User1146,Post340,5,10,SepDec-17
User0580,Post201,5,13,JanApr-17
User0305,Post418,5,16,SepDec-17
User0178,Post610,5,17,SepDec-17
User2043,Post096,5,6,JanApr-17
User7295,Post096,5,6,JanApr-17
User7079,Post096,5,6,JanApr-17
User3768,Post096,5,6,JanApr-17
User7589,Post497,4,9,SepDec-17
User6553,Post497,4,9,SepDec-17
User2842,Post497,4,9,SepDec-17
User2755,Post497,4,9,SepDec-17
User2340,Post497,4,9,SepDec-17
User2039,Post497,4,9,SepDec-17
User1929,Post497,4,9,SepDec-17
User1810,Post497,4,9,SepDec-17
User1323,Post497,4,9,SepDec-17
User0899,Post497,4,9,SepDec-17
User0789,Post497,4,9,SepDec-17
User7356,Post030,4,2,SepDec-17
User7310,Post190,4,10,JanApr-17
User7183,Post203,4,13,SepDec-17
User7032,Post571,4,12,JanApr-17
User4340,Post173,4,9,SepDec-17
User0580,Post118,4,5,SepDec-17
User6639,Post150,4,15,MayAug-17
User6588,Post493,4,1,SepDec-17
User6451,Post203,4,13,SepDec-17
User5555,Post558,4,16,SepDec-17
User4540,Post281,4,12,JanApr-17
User4340,Post181,4,16,JanApr-17
User0580,Post079,4,2,JanApr-17
User0571,Post593,4,14,SepDec-17
User0569,Post211,4,12,SepDec-17
User0569,Post477,4,17,SepDec-17
User0569,Post487,4,14,MayAug-17
User6158,Post096,4,6,JanApr-17
User6901,Post096,4,6,JanApr-17
User0210,Post452,4,16,SepDec-17
User2915,Post195,4,4,SepDec-16
User4610,Post195,4,4,SepDec-16
User3736,Post195,4,4,SepDec-16
User6361,Post195,4,4,SepDec-16
User5779,Post195,4,4,SepDec-16
User4292,Post195,4,4,SepDec-16
User6991,Post443,3,3,SepDec-17
User7617,Post361,3,16,SepDec-17
User7591,Post375,3,5,SepDec-17
User7541,Post281,3,12,JanApr-17
User0765,Post064,3,15,MayAug-17
User6930,Post497,3,9,SepDec-17
User6573,Post497,3,9,SepDec-17
User5479,Post497,3,9,SepDec-17
User5003,Post497,3,9,SepDec-17
User4151,Post497,3,9,SepDec-17
User3077,Post497,3,9,SepDec-17
User3071,Post497,3,9,SepDec-17
User2273,Post497,3,9,SepDec-17
User0569,Post192,3,8,SepDec-17
User7284,Post087,3,12,SepDec-17
User7100,Post066,3,12,JanApr-17
User6983,Post036,3,1,JanApr-17
User6423,Post571,3,12,JanApr-17
User6344,Post287,3,1,JanApr-17
User6325,Post493,3,1,SepDec-17
User6309,Post577,3,8,MayAug-17
User5725,Post047,3,9,JanApr-17
User5218,Post611,3,4,JanApr-17
User4983,Post447,3,1,JanApr-17
User4946,Post357,3,14,JanApr-17
User4937,Post493,3,1,SepDec-17
User4767,Post117,3,17,SepDec-17
User4340,Post003,3,17,SepDec-17
User4134,Post373,3,14,SepDec-17
User4059,Post055,3,8,JanApr-17
User4040,Post047,3,9,JanApr-17
User3855,Post500,3,5,JanApr-17
User3748,Post367,3,1,MayAug-17
User3711,Post218,3,18,SepDec-17
User3483,Post575,3,5,MayAug-17
User3187,Post575,3,5,MayAug-17
User2871,Post093,3,18,SepDec-17
User2392,Post285,3,18,SepDec-17
User2215,Post269,3,12,SepDec-17
User2110,Post120,3,8,JanApr-17
User2057,Post500,3,5,JanApr-17
User2045,Post279,3,14,MayAug-17
User1654,Post610,3,17,SepDec-17
User1178,Post120,3,8,JanApr-17
User1024,Post150,3,15,MayAug-17
User0592,Post066,3,12,JanApr-17
User0569,Post326,3,17,SepDec-17
User0569,Post480,3,17,SepDec-17
User0569,Post385,3,12,MayAug-17
User0510,Post025,3,7,JanApr-17
User0500,Post117,3,17,SepDec-17
User0500,Post150,3,15,MayAug-17
User0349,Post030,3,2,SepDec-17
User0322,Post388,3,13,JanApr-17
User0305,Post065,3,3,JanApr-17
User0305,Post081,3,13,JanApr-17
User0260,Post447,3,1,JanApr-17
User0159,Post447,3,1,JanApr-17
User0090,Post285,3,18,SepDec-17
User0065,Post283,3,9,JanApr-17
User0046,Post065,3,3,JanApr-17
User0039,Post025,3,7,JanApr-17
User2793,Post096,3,6,JanApr-17
User1958,Post096,3,6,JanApr-17
User1509,Post096,3,6,JanApr-17
User1787,Post096,3,6,JanApr-17
User6538,Post096,3,6,JanApr-17
User0032,Post047,3,9,JanApr-17
User5871,Post195,3,4,SepDec-16
User1773,Post195,3,4,SepDec-16
User2893,Post195,3,4,SepDec-16
User3591,Post195,3,4,SepDec-16
User0409,Post443,2,3,SepDec-17
User0794,Post306,2,8,SepDec-17
User7707,Post281,2,12,JanApr-17
User7651,Post571,2,12,JanApr-17
User7634,Post493,2,1,SepDec-17
User7594,Post548,2,10,JanApr-17
User7582,Post562,2,6,SepDec-17
User7573,Post079,2,2,JanApr-17
User7558,Post066,2,12,JanApr-17
User7529,Post479,2,17,SepDec-17
User7512,Post447,2,1,JanApr-17
User7474,Post446,2,17,SepDec-17
User7422,Post229,2,2,SepDec-17
User7411,Post120,2,8,JanApr-17
User7379,Post093,2,18,SepDec-17
User7366,Post120,2,8,JanApr-17
User7357,Post239,2,8,JanApr-17
User6621,Post064,2,15,MayAug-17
User7304,Post055,2,8,JanApr-17
User5468,Post580,2,13,SepDec-17
User7290,Post418,2,16,SepDec-17
User7686,Post497,2,9,SepDec-17
User7589,Post410,2,13,SepDec-17
User7407,Post497,2,9,SepDec-17
User7243,Post233,2,10,SepDec-17
User7380,Post497,2,9,SepDec-17
User7348,Post497,2,9,SepDec-17
User7132,Post410,2,13,SepDec-17
User6924,Post410,2,13,SepDec-17
User7202,Post279,2,14,MayAug-17
User7197,Post493,2,1,SepDec-17
User6805,Post497,2,9,SepDec-17
User7186,Post609,2,9,JanApr-17
User6663,Post410,2,13,SepDec-17
User6638,Post497,2,9,SepDec-17
User7180,Post513,2,6,JanApr-17
User6326,Post497,2,9,SepDec-17
User6296,Post497,2,9,SepDec-17
User6272,Post497,2,9,SepDec-17
User5994,Post497,2,9,SepDec-17
User7149,Post493,2,1,SepDec-17
User7141,Post085,2,15,SepDec-17
User5747,Post497,2,9,SepDec-17
User5665,Post497,2,9,SepDec-17
User7128,Post094,2,16,SepDec-17
User5228,Post410,2,13,SepDec-17
User4658,Post438,2,14,SepDec-17
User5223,Post497,2,9,SepDec-17
User5162,Post497,2,9,SepDec-17
User5153,Post497,2,9,SepDec-17
User5109,Post497,2,9,SepDec-17
User5082,Post410,2,13,SepDec-17
User3275,Post064,2,15,MayAug-17
User5050,Post497,2,9,SepDec-17
User4932,Post497,2,9,SepDec-17
User7040,Post511,2,18,SepDec-17
User7032,Post141,2,8,SepDec-17
User7032,Post094,2,16,SepDec-17
User7032,Post349,2,NA,MayAug-17
User4912,Post497,2,9,SepDec-17
User6994,Post569,2,17,JanApr-17
User4825,Post410,2,13,SepDec-17
User4701,Post497,2,9,SepDec-17
User4642,Post497,2,9,SepDec-17
User4636,Post497,2,9,SepDec-17
User4308,Post497,2,9,SepDec-17
User6957,Post597,2,1,JanApr-17
User4197,Post497,2,9,SepDec-17
User4188,Post497,2,9,SepDec-17
User6932,Post281,2,12,JanApr-17
User4132,Post497,2,9,SepDec-17
User4013,Post497,2,9,SepDec-17
