"","Message","Type","Likes","Comments","Reactions","Date","Time"
"1","Welcome to the House of Commons.  Like this official page to keep informed about key decisions in the House of Commons Chamber and the work of the Select Committees.","photo",10,1,10,2016-05-17,"16:51"
"2","UK House of Commons updated their cover photo.","photo",17,5,23,2016-05-18,"07:57"
"3","Today MPs started to debate the subjects raised in the Queen s Speech. The Queen s Speech outlined proposed legislation for the upcoming year  including a Criminal Finances Bill  Education for All Bill and a Prison and Courts Reform Bill. Debates will continue for a further five days.","link",5,1,5,2016-05-18,"14:39"
"4","The Women and Equalities Committee are looking for your views about how to tackle sexual harassment in schools. Tell them via our website.","link",3,0,3,2016-05-19,"11:23"
"5","MPs continued to debate the Queens Speech  focusing on transport and local infrastructure. The Modern Transport Bill will introduce legislation on reducing congestion  driverless vehicles and spaceports. Watch what MPs have to say about the proposals.","link",3,0,3,2016-05-19,"15:45"
"6","The UK recently dropped to 13th in the EY Renewable Energy Attractiveness Index. The Energy and Climate Change Committee has written a report on how to boost UK energy investment.","link",3,2,3,2016-05-20,"11:23"
"7","Today at 3.50pm the Business  Innovation & Skills Committee and Work & Pensions Committee are jointly questioning witnesses in relation to the sale of BHS.","link",2,0,2,2016-05-23,"14:23"
"8","MPs continued to debate the Queen s Speech  focusing on public services.  The NHS (Overseas Visitors Charging) Bill will extend the rules on charging migrants and overseas visitors for NHS treatment. Watch what MPs said about the proposals.","link",2,0,2,2016-05-23,"15:50"
"9","The Environmental Audit Committee is investigating the environmental impact of microplastic pollution in the ocean and how the Government can deal with the problem.","link",2,2,2,2016-05-23,"19:05"
"10","Why have there been further delays to Hinkley Point C?   The Energy and Climate Change Committee is holding an inquiry into the UK s new nuclear supply.","link",1,1,1,2016-05-24,"11:28"
"11","Day 4 of the Queen’s Speech debate focused on Europe  Human Rights and keeping people safe at home and abroad. The Counter-Extremism and Safeguarding Bill will aim to provide stronger powers to disrupt extremists and protect the public. Watch what MPs said about the proposed legislation.","link",0,0,0,2016-05-24,"15:50"
"12","The Communities and Local Government Committee are investigating why homelessness is increasing  and how the Government should tackle it. Here Seth talks about his experience of homelessness.  Find out more about the inquiry into homelessness: https://goo.gl/V4rsfm","video",4,0,4,2016-05-25,"11:27"
"13","MPs discussed education  skills and training in Day 5 of the Queen s Speech debate. The Higher Education and Research Bill includes proposals to support the establishment of new universities and increase access to higher education. Watch what MPs said about the proposals.","link",1,0,1,2016-05-25,"16:00"
"14","On the final day of the Queen s Speech debates  Chancellor of the Exchequer George Osborne leads the debate on plans for the economy for the upcoming year. Watch MPs debate the proposals.","link",2,0,2,2016-05-26,"15:12"
"15","The Environment  Food and Rural Affairs Committee is holding an inquiry into the welfare of domestic pets. Watch them question experts on the sale of pets online.","link",0,0,0,2016-05-26,"18:26"
"16","The most recent safety in custody statistics and the data for the previous quarter show higher rates of self-inflicted deaths  self-harm and assaults than in the corresponding previous 12 months.   Read the Justice Committee s report","link",2,0,2,2016-06-01,"11:21"
"17","“Soil is a Cinderella environmental issue. It doesn’t receive as much attention as air pollution  water quality or climate change.   But  whether we realise it or not  society relies on healthy soil for the food we eat  for flood prevention  and for storing carbon.","link",2,0,2,2016-06-02,"09:07"
