Source,Target,Weight,July19Topic,PostDate
User0500,Post066,10,12,Mar-17
User0037,Post609,9,9,Feb-17
User5794,Post190,8,10,Feb-17
User3411,Post120,8,8,Mar-17
User3903,Post120,7,8,Mar-17
User3840,Post249,7,17,Mar-17
User2038,Post096,6,6,Feb-17
User6798,Post066,5,12,Mar-17
User4560,Post571,5,12,Feb-17
User4183,Post447,5,1,Mar-17
User0580,Post201,5,13,Mar-17
User2043,Post096,5,6,Feb-17
User7295,Post096,5,6,Feb-17
User7079,Post096,5,6,Feb-17
User3768,Post096,5,6,Feb-17
User7310,Post190,4,10,Feb-17
User7032,Post571,4,12,Feb-17
User4540,Post281,4,12,Feb-17
User4340,Post181,4,16,Mar-17
User0580,Post079,4,2,Mar-17
User6158,Post096,4,6,Feb-17
User6901,Post096,4,6,Feb-17
User7541,Post281,3,12,Feb-17
User7100,Post066,3,12,Mar-17
User6983,Post036,3,1,Apr-17
User6423,Post571,3,12,Feb-17
User6344,Post287,3,1,Apr-17
User5725,Post047,3,9,Apr-17
User5218,Post611,3,4,Apr-17
User4983,Post447,3,1,Mar-17
User4946,Post357,3,14,Feb-17
User4059,Post055,3,8,Apr-17
User4040,Post047,3,9,Apr-17
User3855,Post500,3,5,Mar-17
User2110,Post120,3,8,Mar-17
User2057,Post500,3,5,Mar-17
User1178,Post120,3,8,Mar-17
User0592,Post066,3,12,Mar-17
User0510,Post025,3,7,Mar-17
User0322,Post388,3,13,Mar-17
User0305,Post065,3,3,Apr-17
User0305,Post081,3,13,Apr-17
User0260,Post447,3,1,Mar-17
User0159,Post447,3,1,Mar-17
User0065,Post283,3,9,Feb-17
User0046,Post065,3,3,Apr-17
User0039,Post025,3,7,Mar-17
User2793,Post096,3,6,Feb-17
User1958,Post096,3,6,Feb-17
User1509,Post096,3,6,Feb-17
User1787,Post096,3,6,Feb-17
User6538,Post096,3,6,Feb-17
User0032,Post047,3,9,Apr-17
User7707,Post281,2,12,Feb-17
User7651,Post571,2,12,Feb-17
User7594,Post548,2,10,Mar-17
User7573,Post079,2,2,Mar-17
User7558,Post066,2,12,Mar-17
User7512,Post447,2,1,Mar-17
User7411,Post120,2,8,Mar-17
User7366,Post120,2,8,Mar-17
User7357,Post239,2,8,Mar-17
User7304,Post055,2,8,Apr-17
User7186,Post609,2,9,Feb-17
User7180,Post513,2,6,Jan-17
User6994,Post569,2,17,Mar-17
User6957,Post597,2,1,Apr-17
User6932,Post281,2,12,Feb-17
User6813,Post447,2,1,Mar-17
User6754,Post447,2,1,Mar-17
User6738,Post439,2,12,Apr-17
User6547,Post025,2,7,Mar-17
User1526,Post167,2,14,Feb-17
User6470,Post120,2,8,Mar-17
User6443,Post379,2,14,Jan-17
User6406,Post025,2,7,Mar-17
User6390,Post025,2,7,Mar-17
User6371,Post287,2,1,Apr-17
User6362,Post287,2,1,Apr-17
User6310,Post136,2,4,Mar-17
User6306,Post451,2,8,Feb-17
User6257,Post500,2,5,Mar-17
User6230,Post036,2,1,Apr-17
User6172,Post513,2,6,Jan-17
User6139,Post500,2,5,Mar-17
User6132,Post281,2,12,Feb-17
User6124,Post281,2,12,Feb-17
User6028,Post571,2,12,Feb-17
User6018,Post500,2,5,Mar-17
User5967,Post120,2,8,Mar-17
User5946,Post571,2,12,Feb-17
User5936,Post281,2,12,Feb-17
User5869,Post281,2,12,Feb-17
User5849,Post571,2,12,Feb-17
User5825,Post036,2,1,Apr-17
User5699,Post281,2,12,Feb-17
User5656,Post281,2,12,Feb-17
User5651,Post185,2,13,Mar-17
User5633,Post066,2,12,Mar-17
User5479,Post185,2,13,Mar-17
User5435,Post447,2,1,Mar-17
User5349,Post190,2,10,Feb-17
User5342,Post190,2,10,Feb-17
User5251,Post447,2,1,Mar-17
User5249,Post036,2,1,Apr-17
User5004,Post194,2,8,Feb-17
User5003,Post417,2,11,Feb-17
