Source,Target,Weight,July19Topic,PostDate
User4571,Post237,2,3,Aug-16
User0455,Post237,2,3,Aug-16
User0454,Post468,2,11,Aug-16
User0454,Post423,2,17,Aug-16
User0454,Post250,2,18,Aug-16
User1738,Post427,2,7,Jun-16
User2169,Post241,2,1,May-16
User1635,Post241,2,1,May-16
User6618,Post241,2,1,May-16
User7433,Post440,1,17,Aug-16
User6644,Post440,1,17,Aug-16
User6644,Post266,1,12,Aug-16
User6501,Post453,1,3,Aug-16
User6256,Post237,1,3,Aug-16
User5993,Post453,1,3,Aug-16
User5901,Post453,1,3,Aug-16
User5836,Post440,1,17,Aug-16
User5691,Post468,1,11,Aug-16
User5057,Post440,1,17,Aug-16
User5057,Post237,1,3,Aug-16
User5057,Post423,1,17,Aug-16
User4908,Post237,1,3,Aug-16
User4908,Post266,1,12,Aug-16
User4908,Post423,1,17,Aug-16
User4908,Post453,1,3,Aug-16
User4387,Post237,1,3,Aug-16
User4387,Post266,1,12,Aug-16
User4387,Post423,1,17,Aug-16
User4387,Post453,1,3,Aug-16
User2733,Post266,1,12,Aug-16
User2689,Post266,1,12,Aug-16
User1777,Post237,1,3,Aug-16
User1559,Post266,1,12,Aug-16
User1233,Post468,1,11,Aug-16
User1090,Post266,1,12,Aug-16
User0587,Post440,1,17,Aug-16
User0587,Post423,1,17,Aug-16
User0530,Post468,1,11,Aug-16
User0530,Post440,1,17,Aug-16
User0530,Post237,1,3,Aug-16
User0505,Post468,1,11,Aug-16
User0505,Post453,1,3,Aug-16
User0500,Post440,1,17,Aug-16
User0483,Post468,1,11,Aug-16
User0483,Post440,1,17,Aug-16
User0483,Post237,1,3,Aug-16
User0483,Post266,1,12,Aug-16
User0483,Post423,1,17,Aug-16
User0483,Post453,1,3,Aug-16
User0469,Post266,1,12,Aug-16
User0455,Post468,1,11,Aug-16
User0455,Post440,1,17,Aug-16
User0455,Post266,1,12,Aug-16
User0455,Post423,1,17,Aug-16
User0455,Post453,1,3,Aug-16
User0454,Post440,1,17,Aug-16
User0454,Post237,1,3,Aug-16
User0454,Post266,1,12,Aug-16
User0454,Post453,1,3,Aug-16
User0382,Post237,1,3,Aug-16
User0382,Post266,1,12,Aug-16
User0382,Post453,1,3,Aug-16
User0188,Post266,1,12,Aug-16
User0188,Post453,1,3,Aug-16
User0186,Post266,1,12,Aug-16
User0134,Post440,1,17,Aug-16
User0134,Post266,1,12,Aug-16
User0124,Post468,1,11,Aug-16
User0124,Post440,1,17,Aug-16
User0124,Post237,1,3,Aug-16
User0124,Post266,1,12,Aug-16
User0124,Post423,1,17,Aug-16
User0124,Post453,1,3,Aug-16
User0093,Post237,1,3,Aug-16
User0483,Post376,1,15,Aug-16
User0124,Post376,1,15,Aug-16
User0454,Post376,1,15,Aug-16
User4387,Post376,1,15,Aug-16
User0483,Post060,1,15,Aug-16
User0454,Post060,1,15,Aug-16
User4387,Post060,1,15,Aug-16
User6245,Post060,1,15,Aug-16
User0483,Post250,1,18,Aug-16
User0530,Post250,1,18,Aug-16
User4387,Post250,1,18,Aug-16
User7178,Post308,1,15,Aug-16
User0483,Post308,1,15,Aug-16
User0530,Post308,1,15,Aug-16
User0454,Post308,1,15,Aug-16
User0093,Post308,1,15,Aug-16
User0483,Post092,1,15,Jul-16
User0483,Post071,1,1,Jul-16
User1090,Post071,1,1,Jul-16
User0483,Post408,1,7,Jul-16
User0483,Post409,1,18,Jul-16
User0587,Post409,1,18,Jul-16
User1090,Post409,1,18,Jul-16
User0483,Post038,1,10,Jul-16
User0530,Post038,1,10,Jul-16
User0587,Post038,1,10,Jul-16
User1090,Post038,1,10,Jul-16
User7427,Post038,1,10,Jul-16
User6169,Post038,1,10,Jul-16
User7222,Post038,1,10,Jul-16
User7482,Post038,1,10,Jul-16
User0505,Post526,1,4,Jul-16
User0483,Post526,1,4,Jul-16
User0530,Post526,1,4,Jul-16
User0382,Post526,1,4,Jul-16
User7111,Post532,1,8,Jul-16
User0483,Post532,1,8,Jul-16
User2625,Post532,1,8,Jul-16
User0865,Post532,1,8,Jul-16
User2479,Post532,1,8,Jul-16
User0912,Post532,1,8,Jul-16
User1090,Post532,1,8,Jul-16
User0587,Post532,1,8,Jul-16
User5557,Post532,1,8,Jul-16
User7111,Post314,1,2,Jul-16
User2479,Post314,1,2,Jul-16
User0587,Post314,1,2,Jul-16
User0587,Post033,1,8,Jul-16
User5993,Post212,1,18,Jul-16
User2625,Post212,1,18,Jul-16
User0093,Post414,1,15,Jul-16
User7316,Post414,1,15,Jul-16
User0188,Post414,1,15,Jul-16
User0414,Post414,1,15,Jul-16
User0587,Post119,1,11,Jun-16
User2867,Post411,1,14,Jun-16
User1635,Post411,1,14,Jun-16
User5769,Post097,1,14,Jun-16
User0553,Post097,1,14,Jun-16
User2416,Post097,1,14,Jun-16
User4282,Post097,1,14,Jun-16
User5360,Post097,1,14,Jun-16
User3782,Post097,1,14,Jun-16
User7458,Post097,1,14,Jun-16
User6552,Post097,1,14,Jun-16
User3660,Post097,1,14,Jun-16
User4910,Post097,1,14,Jun-16
User2596,Post097,1,14,Jun-16
User3842,Post427,1,7,Jun-16
User7458,Post427,1,7,Jun-16
User0587,Post427,1,7,Jun-16
User0469,Post427,1,7,Jun-16
User5446,Post043,1,18,Jun-16
User7458,Post043,1,18,Jun-16
User0587,Post043,1,18,Jun-16
User0587,Post578,1,10,Jun-16
User5557,Post578,1,10,Jun-16
User0188,Post578,1,10,Jun-16
User0382,Post578,1,10,Jun-16
User5482,Post578,1,10,Jun-16
User1145,Post102,1,10,Jun-16
User1090,Post102,1,10,Jun-16
User6263,Post102,1,10,Jun-16
User0587,Post102,1,10,Jun-16
User0188,Post102,1,10,Jun-16
User1090,Post465,1,6,Jun-16
User2479,Post465,1,6,Jun-16
User1090,Post067,1,4,Jun-16
User1090,Post481,1,6,Jun-16
User1090,Post104,1,13,Jun-16
User1090,Post057,1,1,Jun-16
User0188,Post057,1,1,Jun-16
User1090,Post466,1,3,Jun-16
User2479,Post466,1,3,Jun-16
User0134,Post143,1,13,Jun-16
User2479,Post292,1,11,Jun-16
User0134,Post082,1,2,Jun-16
User0382,Post082,1,2,Jun-16
User0587,Post098,1,2,Jun-16
User0188,Post553,1,18,May-16
User0587,Post553,1,18,May-16
User0188,Post496,1,18,May-16
User0134,Post561,1,15,May-16
User4313,Post561,1,15,May-16
User1145,Post561,1,15,May-16
User1635,Post304,1,2,May-16
User2176,Post445,1,2,May-16
User7301,Post445,1,2,May-16
User1635,Post445,1,2,May-16
User2479,Post040,1,18,May-16
User0188,Post040,1,18,May-16
User0188,Post589,1,4,May-16
User2625,Post210,1,2,May-16
User0188,Post210,1,2,May-16
User3673,Post210,1,2,May-16
User1635,Post210,1,2,May-16
User0188,Post029,1,18,May-16
User1145,Post029,1,18,May-16
User0382,Post286,1,11,May-16
User0188,Post286,1,11,May-16
User1420,Post607,1,18,May-16
User2263,Post607,1,18,May-16
User3922,Post607,1,18,May-16
User0188,Post607,1,18,May-16
User3010,Post607,1,18,May-16
User6547,Post607,1,18,May-16
User5720,Post241,1,1,May-16
User0264,Post241,1,1,May-16
User7694,Post241,1,1,May-16
User0662,Post241,1,1,May-16
User6826,Post241,1,1,May-16
User4659,Post241,1,1,May-16
User7670,Post241,1,1,May-16
User4431,Post241,1,1,May-16
User2874,Post241,1,1,May-16
User1696,Post241,1,1,May-16
User4733,Post241,1,1,May-16
User6169,Post241,1,1,May-16
User6366,Post241,1,1,May-16
User4888,Post241,1,1,May-16
User7155,Post241,1,1,May-16
User0105,Post241,1,1,May-16
User0103,Post241,1,1,May-16
User5143,Post241,1,1,May-16
