Source,Target,Weight,July19Topic,PostDate
User3563,Post195,17,4,Nov-16
User1944,Post195,17,4,Nov-16
User2610,Post195,9,4,Nov-16
User1341,Post195,6,4,Nov-16
User2915,Post195,4,4,Nov-16
User4610,Post195,4,4,Nov-16
User3736,Post195,4,4,Nov-16
User6361,Post195,4,4,Nov-16
User5779,Post195,4,4,Nov-16
User4292,Post195,4,4,Nov-16
User5871,Post195,3,4,Nov-16
User1773,Post195,3,4,Nov-16
User2893,Post195,3,4,Nov-16
User3591,Post195,3,4,Nov-16
User6671,Post053,2,8,Dec-16
User5113,Post075,2,13,Nov-16
User4029,Post462,2,5,Nov-16
User2533,Post053,2,8,Dec-16
User2359,Post053,2,8,Dec-16
User1280,Post075,2,13,Nov-16
User0566,Post053,2,8,Dec-16
User0455,Post549,2,13,Nov-16
User0455,Post148,2,15,Sep-16
User0454,Post053,2,8,Dec-16
User0454,Post246,2,15,Nov-16
User0454,Post231,2,7,Nov-16
User0454,Post351,2,4,Nov-16
User0454,Post059,2,2,Nov-16
User0454,Post138,2,6,Nov-16
User0454,Post295,2,18,Sep-16
User0454,Post529,2,12,Sep-16
User0186,Post027,2,12,Oct-16
User0170,Post549,2,13,Nov-16
User0454,Post135,2,9,Dec-16
User6172,Post207,2,3,Dec-16
User0454,Post587,2,7,Dec-16
User0454,Post582,2,9,Dec-16
User0454,Post544,2,10,Nov-16
User1955,Post195,2,4,Nov-16
User7438,Post195,2,4,Nov-16
User5501,Post195,2,4,Nov-16
User4929,Post195,2,4,Nov-16
User6753,Post195,2,4,Nov-16
User6376,Post195,2,4,Nov-16
User1117,Post195,2,4,Nov-16
User7268,Post195,2,4,Nov-16
User6324,Post195,2,4,Nov-16
User5187,Post195,2,4,Nov-16
User5646,Post552,2,18,Nov-16
User0455,Post257,2,15,Nov-16
User3697,Post429,2,4,Nov-16
User6696,Post317,2,6,Oct-16
User2613,Post331,2,7,Oct-16
User7265,Post483,2,5,Oct-16
User0454,Post533,2,2,Sep-16
User7701,Post462,1,5,Nov-16
User7690,Post054,1,9,Sep-16
User7685,Post075,1,13,Nov-16
User7669,Post061,1,7,Dec-16
User7628,Post027,1,12,Oct-16
User7624,Post016,1,10,Nov-16
User7567,Post075,1,13,Nov-16
User7551,Post027,1,12,Oct-16
User7433,Post205,1,17,Sep-16
User7401,Post053,1,8,Dec-16
User7378,Post027,1,12,Oct-16
User7299,Post138,1,6,Nov-16
User7296,Post053,1,8,Dec-16
User7286,Post284,1,13,Nov-16
User7205,Post155,1,10,Dec-16
User7178,Post016,1,10,Nov-16
User7178,Post027,1,12,Oct-16
User7136,Post351,1,4,Nov-16
User7135,Post155,1,10,Dec-16
User7121,Post075,1,13,Nov-16
User7111,Post016,1,10,Nov-16
